date,volumeto,close,bitcoin,num_tweets
2020-05-22,217819517.42,9186.19,9.0,46283.0
2020-05-23,412753415.47,8718.49,7.800000000000001,27771.0
2020-05-24,386241517.98,8901.48,8.0,30235.0
2020-05-25,352930782.24,8844.5,9.0,34450.0
2020-05-26,381475134.6,9204.62,8.4,30190.0
2020-05-27,530613444.11,9579.71,8.200000000000001,34046.0
2020-05-28,379875666.16,9424.62,8.0,38537.0
2020-05-29,235049817.45,9699.78,7.800000000000001,34052.0
2020-05-30,212143031.97,9450.47,7.0,29372.0
2020-05-31,435270237.66,10211.23,7.0,28806.0
2020-06-01,812990990.27,9523.75,8.97,34801.0
2020-06-02,316212538.78,9666.06,13.0,48257.0
2020-06-03,418578381.27,9794.55,10.27,32772.0
2020-06-04,406449067.36,9622.02,9.62,33808.0
2020-06-05,221180782.78,9671.46,9.36,31415.0
2020-06-06,374577294.36,9750.7,7.800000000000001,26066.0
2020-06-07,318606275.83,9782.58,8.19,26035.0
2020-06-08,376816490.4,9779.7,9.1,30802.0
2020-06-09,395005942.58,9891.84,8.97,33586.0
2020-06-10,827582593.73,9268.13,9.1,35740.0
2020-06-11,384322097.92,9464.23,9.88,34444.0
2020-06-12,156509665.57,9474.65,8.97,34530.0
2020-06-13,181308843.48,9333.7,7.0200000000000005,30524.0
2020-06-14,616170633.01,9429.65,6.76,24592.0
2020-06-15,378768702.55,9526.7,8.97,28560.0
2020-06-16,325191529.46,9459.13,8.71,28992.0
2020-06-17,236301644.47,9380.67,8.06,23559.0
2020-06-18,295439171.8,9301.83,7.54,23904.0
2020-06-19,182464228.19,9359.18,7.41,29522.0
2020-06-20,123480945.26,9292.81,6.5,26154.0
2020-06-21,393567343.68,9691.61,6.11,26333.0
2020-06-22,296221140.11,9624.3,7.930000000000001,33399.0
2020-06-23,461570781.81,9292.94,8.19,34373.0
2020-06-24,435446758.27,9241.32,7.800000000000001,32446.0
2020-06-25,371373315.29,9158.07,7.54,31154.0
2020-06-26,254990739.33,9007.14,7.41,30758.0
2020-06-27,179558602.81,9120.39,6.76,28444.0
2020-06-28,283764928.26,9187.07,7.41,28965.0
2020-06-29,213905502.74,9136.47,7.28,32380.0
2020-06-30,274835041.39,9238.89,7.28,28895.0
2020-07-01,343433369.43,9092.8,5.880000000000001,26910.0
2020-07-02,198428092.21,9066.46,5.880000000000001,26683.0
2020-07-03,147598290.89,9142.2,5.460000000000001,25726.0
2020-07-04,159006413.09,9081.44,5.040000000000001,24368.0
2020-07-05,340664721.17,9347.05,5.32,20039.0
2020-07-06,239497399.36,9257.32,6.0200000000000005,27694.0
2020-07-07,350318105.76,9439.2,5.880000000000001,22547.0
2020-07-08,280648694.08,9238.95,6.44,22723.0
2020-07-09,224680670.05,9288.57,6.16,24645.0
2020-07-10,108899834.63,9237.13,5.6000000000000005,24965.0
2020-07-11,151649367.79,9300.95,5.180000000000001,22288.0
2020-07-12,240081841.21,9237.89,5.32,19664.0
2020-07-13,238308476.7,9256.07,5.880000000000001,25309.0
2020-07-14,216386874.26,9193.22,6.44,35940.0
2020-07-15,254255550.28,9133.23,7.700000000000001,54174.0
2020-07-16,187710134.42,9156.79,9.52,56131.0
2020-07-17,109563331.59,9177.22,6.44,24865.0
2020-07-18,117297958.15,9216.02,9.66,21879.0
2020-07-19,171877002.63,9164.42,5.460000000000001,18893.0
2020-07-20,337645738.93,9392.83,5.180000000000001,24912.0
2020-07-21,281661129.12,9537.24,6.0200000000000005,27374.0
2020-07-22,415079930.39,9615.21,5.880000000000001,25069.0
2020-07-23,323092524.09,9550.23,7.000000000000001,27632.0
2020-07-24,233301043.7,9708.41,6.44,27407.0
2020-07-25,417337407.31,9942.01,6.580000000000001,27808.0
2020-07-26,1363674374.42,11042.94,8.4,30432.0
2020-07-27,938667838.04,10933.26,13.02,51139.0
2020-07-28,689206497.21,11112.04,14.000000000000002,45495.0
2020-07-29,503563543.58,11113.66,10.920000000000002,33785.0
2020-07-30,608151203.91,11352.72,9.8,32625.0
2020-07-31,741252933.72,11812.42,10.080000000000002,30055.0
2020-08-01,721639453.44,11063.5,15.0,39913.0
2020-08-02,473995003.36,11234.73,15.0,33109.0
2020-08-03,393301819.23,11194.18,12.45,29874.0
2020-08-04,555395574.17,11752.05,11.25,29318.0
2020-08-05,587033759.68,11771.27,12.0,38033.0
2020-08-06,651142052.53,11603.82,13.2,38775.0
2020-08-07,271582305.12,11770.77,11.55,37514.0
2020-08-08,231830330.42,11686.34,9.9,29019.0
2020-08-09,667803525.71,11897.41,9.45,25986.0
2020-08-10,724227264.93,11389.01,12.3,35606.0
2020-08-11,430758054.54,11570.19,11.85,33567.0
2020-08-12,487564726.98,11790.68,11.1,35237.0
2020-08-13,437825096.08,11774.52,10.5,30485.0
2020-08-14,369258184.57,11860.91,10.5,38124.0
2020-08-15,260716863.02,11917.97,9.75,39156.0
2020-08-16,682170133.05,12301.19,9.75,29007.0
2020-08-17,604246043.52,11956.69,12.6,40655.0
2020-08-18,590122894.96,11760.37,12.0,38262.0
2020-08-19,510502416.84,11863.43,10.95,36164.0
2020-08-20,745059089.73,11527.35,10.2,33256.0
2020-08-21,572197825.57,11670.42,9.15,34177.0
2020-08-22,388308826.36,11651.52,8.549999999999999,27846.0
2020-08-23,459366140.6,11756.4,7.8,28557.0
2020-08-24,583786229.48,11330.56,9.45,32820.0
2020-08-25,309986442.65,11466.89,9.75,36405.0
2020-08-26,464957172.93,11331.02,8.85,31857.0
2020-08-27,353027933.9,11535.21,8.549999999999999,32432.0
2020-08-28,187746012.8,11480.48,8.1,34517.0
2020-08-29,190649396.2,11716.54,6.75,26986.0
2020-08-30,307926585.75,11657.81,7.5,27893.0
2020-08-31,537292263.85,11926.69,7.949999999999999,29068.0
2020-09-01,618129314.2,11397.9,10.53,35393.0
2020-09-02,894736678.62,10174.62,10.79,32608.0
2020-09-03,562742223.01,10467.33,11.96,37151.0
2020-09-04,614402772.13,10167.97,13.0,34973.0
2020-09-05,300644746.65,10260.37,11.05,28115.0
2020-09-06,422137373.09,10379.08,10.14,23088.0
2020-09-07,553186747.41,10128.54,10.27,30832.0
2020-09-08,346738492.44,10228.85,10.27,28540.0
2020-09-09,452098495.16,10345.68,9.36,30051.0
2020-09-10,266084892.24,10398.5,8.58,29885.0
2020-09-11,184001054.5,10448.0,8.06,30008.0
2020-09-12,299956975.1,10332.36,7.41,27451.0
2020-09-13,359274837.28,10678.31,7.54,27955.0
2020-09-14,369481767.48,10786.7,8.450000000000001,29947.0
2020-09-15,372894154.99,10957.1,8.71,34641.0
2020-09-16,293584349.54,10945.14,8.84,35407.0
2020-09-17,248821618.73,10937.89,8.32,33417.0
2020-09-18,193207449.76,11083.61,7.800000000000001,31357.0
2020-09-19,237773866.86,10921.85,7.0200000000000005,29151.0
2020-09-20,473754186.1,10418.14,7.15,26571.0
2020-09-21,301280976.85,10534.73,8.450000000000001,32418.0
2020-09-22,277589382.46,10238.09,7.930000000000001,38132.0
2020-09-23,304956298.0,10742.98,7.54,47367.0
2020-09-24,360929423.35,10694.12,7.15,37643.0
2020-09-25,148097714.06,10734.23,7.28,38495.0
2020-09-26,148127427.26,10781.47,6.76,25955.0
2020-09-27,350615325.76,10699.0,6.5,37113.0
2020-09-28,334584439.48,10841.29,7.0200000000000005,34219.0
2020-09-29,317604086.65,10779.42,7.15,32020.0
2020-09-30,422940486.72,10622.79,6.63,33290.0
2020-10-01,355424408.51,10576.64,5.33,35755.0
2020-10-02,110570157.37,10552.04,5.59,32092.0
2020-10-03,111420779.07,10675.52,5.07,29374.0
2020-10-04,255950434.22,10795.11,5.07,31026.0
2020-10-05,329346366.4,10603.9,5.46,29324.0
2020-10-06,208253472.75,10672.67,5.33,30843.0
2020-10-07,423807796.12,10929.4,5.07,34215.0
2020-10-08,359802403.01,11058.78,5.46,42037.0
2020-10-09,296925751.27,11301.57,5.59,41653.0
2020-10-10,202131016.49,11375.51,6.11,37385.0
2020-10-11,478557074.68,11539.76,5.720000000000001,33070.0
2020-10-12,383360256.66,11427.29,6.11,32811.0
2020-10-13,259711904.03,11429.3,5.98,33789.0
2020-10-14,377801262.9,11508.31,5.8500000000000005,87570.0
2020-10-15,332320579.31,11326.25,5.98,63222.0
2020-10-16,112306061.3,11367.65,5.720000000000001,36596.0
2020-10-17,131886570.58,11513.33,5.33,29771.0
2020-10-18,456404609.75,11756.88,5.33,26901.0
2020-10-19,576128149.71,11921.78,6.11,31375.0
2020-10-20,1296152945.69,12813.11,7.67,37581.0
2020-10-21,739591002.3,12990.25,12.48,64870.0
2020-10-22,416662855.54,12937.2,13.0,43790.0
2020-10-23,273005904.67,13126.13,10.53,35777.0
2020-10-24,368884232.62,13041.21,8.32,32175.0
2020-10-25,460984686.3,13069.43,8.450000000000001,28445.0
2020-10-26,603406480.39,13646.02,9.62,36554.0
2020-10-27,434942187.78,13285.97,11.05,44889.0
2020-10-28,555737562.11,13462.18,11.7,36385.0
2020-10-29,756044940.71,13565.95,9.88,36808.0
2020-10-30,600104833.89,13803.41,9.49,32806.0
2020-10-31,286724152.06,13761.72,9.75,49308.0
2020-11-01,453096297.52,13571.24,8.97,40439.0
2020-11-02,300271386.78,14023.78,9.66,32602.0
2020-11-03,423118194.37,14157.73,8.74,36459.0
2020-11-04,625288741.44,15599.92,8.97,47315.0
2020-11-05,538014394.46,15590.62,13.8,60368.0
2020-11-06,388303730.2,14838.16,15.64,47823.0
2020-11-07,285202500.11,15488.25,11.96,33705.0
2020-11-08,492570531.42,15335.03,11.04,30699.0
2020-11-09,352628988.82,15313.73,12.19,35977.0
2020-11-10,717920492.19,15707.08,10.35,35104.0
2020-11-11,1074746061.94,16306.53,10.81,39657.0
2020-11-12,694320640.17,16332.85,12.42,44220.0
2020-11-13,452657737.75,16075.95,13.57,48337.0
2020-11-14,286912254.78,15964.7,11.04,37293.0
2020-11-15,685608661.41,16721.46,9.43,33836.0
2020-11-16,1072294334.69,17681.54,12.88,47177.0
2020-11-17,1441862086.0,17786.27,17.71,74813.0
2020-11-18,859856045.56,17824.64,21.62,70679.0
2020-11-19,939934212.29,18672.78,17.25,43267.0
2020-11-20,705040526.65,18704.06,18.17,47903.0
2020-11-21,796767991.89,18430.59,17.94,45874.0
2020-11-22,902518528.75,18385.74,15.64,43581.0
2020-11-23,1403472685.29,19157.16,16.330000000000002,47594.0
2020-11-24,1141495120.46,18725.76,22.31,78971.0
2020-11-25,2220672632.83,17175.86,20.47,46379.0
2020-11-26,1034426524.1,17155.0,23.0,53237.0
